광주상수도취수장,경기도 광주시 남종면 이석리
이석리취수장,경기도 광주시
구미취수장,경상북도 구미시 비산동 산2-2
양산시감결취수장,경상남도 양산시 상북면 소토리
물금취수장,경상남도 양산시 물금읍 물금리 631
매리취수장,경상남도 김해시 상동면 매리 414-4
이천취수장,경기도 여주군 여주읍 단현리 49-3
덕소취수장,경기도 남양주시 와부읍 도곡리 산191-9
하남시취수장,경기도 하남시 천현동
청평취수장,경기도 가평군 가평읍 상색리 306-3
금파취수장,경기도 파주시 파평면 금파리 427-32
문산취수장,경기도 파주시 파평면 금파리 산2-26
암사취수장,서울특별시 강동구 암사동
팔당댐,경기도 하남시 배알미동 48
원주취수장,강원도 원주시 소초면 장양리 1254-1
덕송취수장,강원도 정선군 정선읍 덕송리 599-3
동송취수장,강원도 철원군 동송읍 오덕리 6
홍천상수도취수장,강원도 홍천군 홍천읍 태학리
태백단광동취수장,강원도 삼척시 하장면 숙암리
소양취수장,강원도 춘천시 동면 지내리 1
주문진상수도취수장,강원도 강릉시 연곡면 송림리
덕천취수장,강원도 정선군 신동읍 덕천리 97
금산상수도제1취수장,충청남도 금산군 남일면 황풍리
무주취수장,전라북도 무주군 무주읍 읍내리
전주시방수리취수장,전라북도 임실군 관촌면 방수리
구례취수장,전라남도 구례군 구례읍 봉서리 124-10
나주시상수도취수장,전라남도 나주시 봉황면 죽석리 547
상수도보성취수장,전라남도 보성군 득량면 오봉리 1844
관산읍취수장,전라남도 장흥군 관산읍 옥당리
진도상수도취수장,전라남도 진도군 진도읍 동외리 1122
해남상수도취수장,전라남도 해남군 삼산면 송정리 88-1
고창취수장,전라북도 고창군 아산면 용계리
한국수자원공사 광주취수장,전라남도 무안군 몽탄면
목포시정수취수장,전라남도 무안군 몽탄면 몽강리 9
함양상수도취수장,경상남도 함양군 함양읍 운림리
진양호취수장,경상남도 진주시 내동면 삼계리 산3
임실상수도취수장,전라북도 임실군 관촌면 방수리 31
마산시칠서취수장,경상남도 함안군 칠서면 계내리
거제권구천취수장,경상남도 거제시 동부면 구천리
거창취수장,경상남도 거창군 거창읍 양평리(산) 1152-2
의령서동취수장,경상남도 의령군 의령읍 서동리 848
자양 취수장,서울특별시 광진구 자양2동 701-1
영덕취수장,경상북도 영덕군 영덕읍 화개리 산48
영천댐(안계댐),경상북도 영천시 자양면 성곡리 51
운문댐,경상북도 청도군 운문면 대천리 산133
감포댐,경상북도 경주시 감포읍 오류리 산17-2 
연초댐,경상남도 거제시 연초면 덕치리 산25-1 
주암취수장,전라남도 순천시 주암면 광천리 468
해평취수장,경상북도 구미시 해평면 문량2리 704-54번지
군산취수장,전라북도 군산시
아산취수장,충청남도 아산시
고령취수장,경북 고령군 다산면 노곡리 746
충주취수장,충청북도 충주시
용천수,제주특별자치도 제주시 구좌읍 하도리 968
강정정수장,제주특별자치도 서귀포시 강정동 3016
삼양수원지,제주특별자치도 제주시 삼양일동
